"Planet_idx":"Planet_name":"Star_code":"mass (earth)":"density (earth)":"radius":"TYPE_TERRAIN":"Climate Type"
1:"Kirei Dionysios":5269:8,97:0,996:missing:"jungle; volcano":"artic; hot; humid; subartic"
1145:"Beid XX":75:5,41:1,551:1,52:"rocky desert; ice cave; savanna; sea; ocean; toxic cloudsea":"rocky; hot; arid; superheated; frigid; artic"
1146:"Arcalís X":1346:2,12:0,941:1,31:"savanna; glacier; canyons":"humid; frozen; superheated; rocky"
1147:"Angetenar Lambda":3278:1,75:0,83:1,28:"sinkholes":"hot; artic; frozen"
1148:"Angetenar Theta":3278:1,38:0,611:1,31:"ice cave; vine; valley":"subartic; arid; tropical; windy"
1149:"Arcanix Septimal":9568:0,48:0,618:0,92:"bog; verdant; island; valley":"tropical; artic; humid; subartic"
1150:"Arcanix Vigesimal":9568:2,22:0,528:1,61:"savanna; sinkholes":"superheated; rocky; subartic"
1151:"Arcanix Nonal":9568:4,07:1,332:1,45:"lakes; rock arche; valley; cave; ice cave; ash; rocky island":"hot; frozen; humid; windy; artificial temperate; temperate"
1152:"Arcanix Quartal":9568:8,07:0,493:2,54:"hill":"rocky; humid; frozen; artic"
1153:"Arcanix Decimal":9568:6,08:0,735:2,02:"grassy hill; bog; cave":"tropical; temperate; windy; subartic"
1154:"Arcanum Flux Yi":3059:4,95:1,108:1,65:"":"windy"
1155:"Whalecaller Undecimal":2216:1,41:1,563:0,97:"acid pool; grassland; bog; sea":"temperate; hot; humid; superheated; arid; rocky"
